 Automated mail xmit by MAIL_REQUEST, PID=   109779 Wed Nov 30 07:04:49 2016
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Jun 17, 2016           Callisto / (Jupiter)                       504

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 2403   +- 5     Density (g cm^-3)   = 1.851 +- .004
  Mass (10^20 kg )        = 1076   +- 1     Geometric Albedo    =  0.20

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 1883  (10^3)    Orbital period      = 16.689018 d
  Eccentricity, e         = 0.007           Rotational period   = Synchronous
  Inclination, i  (deg)   = 0.281
*******************************************************************************


*******************************************************************************
Ephemeris / MAIL_REQUEST Wed Nov 30 07:04:48 2016 Pasadena, USA  / Horizons
*******************************************************************************
Target body name: Callisto (504)                  {source: jup310}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2016-Nov-30 00:00:00.0000 TDB
Stop  time      : A.D. 2016-Dec-30 00:00:00.0000 TDB
Step-size       : 720 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2x (pos. & vel. w/uncertainties: XYZ)
Reference frame : ICRF/J2000.0
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch
*******************************************************************************
JDTDB
 State   : X       Y        Z     VX       VY        VZ
 1-sigma : X_s     Y_s      Z_s   VX_s     VY_s      VZ_s
*******************************************************************************************************************************************************
$$SOE
2457722.500000000 = A.D. 2016-Nov-30 00:00:00.0000 TDB
 XYZ   : -8.081549971452082E+08  -1.156494479340916E+08   1.855399724406631E+07  -4.066740036832387E+00  -1.806338986249810E+01  -2.473969923896133E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.000000000 = A.D. 2016-Nov-30 12:00:00.0000 TDB
 XYZ   : -8.083057141089891E+08  -1.164515279543839E+08   1.854294551639529E+07  -2.881114650250517E+00  -1.903309059246591E+01  -2.626886735004836E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.500000000 = A.D. 2016-Dec-01 00:00:00.0000 TDB
 XYZ   : -8.084016616348962E+08  -1.172905087849073E+08   1.853143911119741E+07  -1.538439222012391E+00  -1.976708033991524E+01  -2.683961710734195E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.000000000 = A.D. 2016-Dec-01 12:00:00.0000 TDB
 XYZ   : -8.084370360742079E+08  -1.181556607202530E+08   1.851989631259502E+07  -8.481586078427883E-02  -2.024142375303797E+01  -2.643761179382595E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.500000000 = A.D. 2016-Dec-02 00:00:00.0000 TDB
 XYZ   : -8.084081017621528E+08  -1.190354034923929E+08   1.850873476745916E+07   1.430411662364993E+00  -2.044077239738381E+01  -2.508003930393210E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.000000000 = A.D. 2016-Dec-02 12:00:00.0000 TDB
 XYZ   : -8.083132966854440E+08  -1.199176883088946E+08   1.849835795543081E+07   2.956174353870735E+00  -2.035881648095237E+01  -2.281512823867828E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.500000000 = A.D. 2016-Dec-03 00:00:00.0000 TDB
 XYZ   : -8.081532760089760E+08  -1.207903900151670E+08   1.848914213602870E+07   4.441169179560203E+00  -1.999832935277399E+01  -1.972029426230435E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.000000000 = A.D. 2016-Dec-03 12:00:00.0000 TDB
 XYZ   : -8.079308882054056E+08  -1.216416991022295E+08   1.848142420424519E+07   5.835385820620132E+00  -1.937112534867652E+01  -1.589997908040592E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.500000000 = A.D. 2016-Dec-04 00:00:00.0000 TDB
 XYZ   : -8.076510880896223E+08  -1.224605061967391E+08   1.847549062519312E+07   7.091584628159673E+00  -1.849774148331884E+01  -1.148265752901461E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.000000000 = A.D. 2016-Dec-04 12:00:00.0000 TDB
 XYZ   : -8.073207862979463E+08  -1.232367708961493E+08   1.847156774177546E+07   8.166643413895507E+00  -1.740702792947042E+01  -6.617572376988878E-02
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.500000000 = A.D. 2016-Dec-05 00:00:00.0000 TDB
 XYZ   : -8.069486443406955E+08  -1.239618621703145E+08   1.846981379781376E+07   9.022895403785135E+00  -1.613519142678052E+01  -1.469834064022280E-02
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.000000000 = A.D. 2016-Dec-05 12:00:00.0000 TDB
 XYZ   : -8.065448046463619E+08  -1.246288542191562E+08   1.847031315807056E+07   9.629657886148657E+00  -1.472483542509653E+01   3.784319141077486E-02
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.500000000 = A.D. 2016-Dec-06 00:00:00.0000 TDB
 XYZ   : -8.061205642710452E+08  -1.252327814801189E+08   1.847307251083637E+07   9.964334023564328E+00  -1.322388603154006E+01   8.962487522076668E-02
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.000000000 = A.D. 2016-Dec-06 12:00:00.0000 TDB
 XYZ   : -8.056880043055042E+08  -1.257708388077263E+08   1.847801946089976E+07   1.001335702251855E+01  -1.168417832553263E+01   1.388192762257718E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.500000000 = A.D. 2016-Dec-07 00:00:00.0000 TDB
 XYZ   : -8.052595831206132E+08  -1.262425138746154E+08   1.848500374687881E+07   9.772942314520101E+00  -1.015971829312270E+01   1.836603421176539E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457730.000000000 = A.D. 2016-Dec-07 12:00:00.0000 TDB
 XYZ   : -8.048477011877469E+08  -1.266496420553809E+08   1.849380131697220E+07   9.249598653067855E+00  -8.704895455615231E+00   2.225079273542327E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457730.500000000 = A.D. 2016-Dec-08 00:00:00.0000 TDB
 XYZ   : -8.044642544849349E+08  -1.269963809729124E+08   1.850412112526803E+07   8.460157986400921E+00  -7.372461139351993E+00   2.539120554091800E-01
