 Automated mail xmit by MAIL_REQUEST, PID=   109779 Wed Nov 30 07:04:55 2016
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Jun 17, 2016            Dione  / (Saturn)                         604
                        http://ssd.jpl.nasa.gov/?sat_phys_par
                          http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)        = 562.5   +- 5     Density (g/cm^3) =  1.469 +- 0.012
  Mass (10^22 g)          = 109.572          Geometric Albedo =  0.6
  GM (km^3/s^2)           =  73.113 +- 0.02 V(1,0)            = +0.8

 SATELLITE ORBITAL DATA (mean values referred to local Laplace plane):
  Semi-major axis, a (km) = 377.42(10^3)    Orbital period    = 2.736915 d
  Eccentricity, e         = 0.0022          Rotational period = Synchronous
  Inclination, i  (deg)   = 0.028
*******************************************************************************


*******************************************************************************
Ephemeris / MAIL_REQUEST Wed Nov 30 07:04:54 2016 Pasadena, USA  / Horizons
*******************************************************************************
Target body name: Dione (604)                     {source: sat389}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2016-Nov-30 00:00:00.0000 TDB
Stop  time      : A.D. 2016-Dec-30 00:00:00.0000 TDB
Step-size       : 720 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2x (pos. & vel. w/uncertainties: XYZ)
Reference frame : ICRF/J2000.0
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch
*******************************************************************************
JDTDB
 State   : X       Y        Z     VX       VY        VZ
 1-sigma : X_s     Y_s      Z_s   VX_s     VY_s      VZ_s
*******************************************************************************************************************************************************
$$SOE
2457722.500000000 = A.D. 2016-Nov-30 00:00:00.0000 TDB
 XYZ   : -3.033876104190677E+08  -1.470735099049610E+09   3.767811909755194E+07   1.156263118530567E+01   6.461284350644231E+00  -4.998925928521873E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.000000000 = A.D. 2016-Nov-30 12:00:00.0000 TDB
 XYZ   : -3.031246912593669E+08  -1.470470140973154E+09   3.749241449857926E+07   1.236388025071278E+00   3.987197674895586E+00  -2.706475982266855E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.500000000 = A.D. 2016-Dec-01 00:00:00.0000 TDB
 XYZ   : -3.031447717904918E+08  -1.470497136396727E+09   3.748698075526714E+07  -5.206427914309231E-02  -5.552342153153840E+00   2.416408220450489E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.000000000 = A.D. 2016-Dec-01 12:00:00.0000 TDB
 XYZ   : -3.029687823009710E+08  -1.470886512395485E+09   3.765254740231025E+07   9.296580536769079E+00  -1.088493183338023E+01   4.310389117369331E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.500000000 = A.D. 2016-Dec-02 00:00:00.0000 TDB
 XYZ   : -3.023485613802725E+08  -1.471278747390591E+09   3.777685964776444E+07   1.818661804189123E+01  -5.680883593304376E+00   7.287745206906318E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.000000000 = A.D. 2016-Dec-02 12:00:00.0000 TDB
 XYZ   : -3.015620153856653E+08  -1.471312259977186E+09   3.769727711098719E+07   1.615463755554189E+01   3.853436563240969E+00  -4.068844092137299E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.500000000 = A.D. 2016-Dec-03 00:00:00.0000 TDB
 XYZ   : -3.010803424087277E+08  -1.471048953050703E+09   3.749163484290773E+07   5.646095327382773E+00   6.536020833587867E+00  -4.460234967085035E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.000000000 = A.D. 2016-Dec-03 12:00:00.0000 TDB
 XYZ   : -3.010166025903942E+08  -1.470898351092944E+09   3.738536424595428E+07  -1.028866833886681E+00  -7.962941311932881E-01   2.544141654734522E-02
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.500000000 = A.D. 2016-Dec-04 00:00:00.0000 TDB
 XYZ   : -3.009919717184340E+08  -1.471139276123894E+09   3.748802652487439E+07   4.059940621573853E+00  -9.547926777378803E+00   4.121057926828453E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.000000000 = A.D. 2016-Dec-04 12:00:00.0000 TDB
 XYZ   : -3.005788508411782E+08  -1.471587955931010E+09   3.766214429666257E+07   1.491728195899414E+01  -9.324012498222869E+00   2.958787590897271E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.500000000 = A.D. 2016-Dec-05 00:00:00.0000 TDB
 XYZ   : -2.998101852266965E+08  -1.471814280498841E+09   3.768557107855868E+07   1.867784682203958E+01  -4.286304163487335E-01  -2.062315685103491E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.000000000 = A.D. 2016-Dec-05 12:00:00.0000 TDB
 XYZ   : -2.991374217222365E+08  -1.471652638038632E+09   3.751505133869445E+07   1.098846354157054E+01   6.637145214169321E+00  -5.021587382357643E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.500000000 = A.D. 2016-Dec-06 00:00:00.0000 TDB
 XYZ   : -2.988973366271024E+08  -1.471392750436800E+09   3.733481428557134E+07   8.738989628390197E-01   3.607840560477741E+00  -2.458659206635431E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.000000000 = A.D. 2016-Dec-06 12:00:00.0000 TDB
 XYZ   : -2.989192356905963E+08  -1.471440267294810E+09   3.734091863732743E+07   2.384879831111775E-01  -6.009377491743169E+00   2.642031795248489E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.500000000 = A.D. 2016-Dec-07 00:00:00.0000 TDB
 XYZ   : -2.987213839210079E+08  -1.471839917128958E+09   3.751037451825863E+07   9.904740459974594E+00  -1.084374822079517E+01   4.244423919570078E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457730.000000000 = A.D. 2016-Dec-07 12:00:00.0000 TDB
 XYZ   : -2.980811975973484E+08  -1.472218632375508E+09   3.762629390442115E+07   1.840154247355713E+01  -5.161272720905797E+00   4.500473413678290E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
