 Automated mail xmit by MAIL_REQUEST, PID=   105359 Wed Nov 30 07:00:40 2016
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Jun 17, 2016           Europa / (Jupiter)                         502

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 1565   +- 8     Density (g cm^-3)   =  2.99 +- 0.05
  Mass (10^20 kg )        =  479.7 +- 1.5   Geometric Albedo    =  0.6

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 671.079 (10^3)  Orbital period      = 3.551810 d
  Eccentricity, e         = 0.0101          Rotational period   = Synchronous
  Inclination, i  (deg)   = 0.464
*******************************************************************************


*******************************************************************************
Ephemeris / MAIL_REQUEST Wed Nov 30 07:00:40 2016 Pasadena, USA  / Horizons
*******************************************************************************
Target body name: Europa (502)                    {source: jup310}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2016-Nov-30 00:00:00.0000 TDB
Stop  time      : A.D. 2016-Dec-30 00:00:00.0000 TDB
Step-size       : 720 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2x (pos. & vel. w/uncertainties: XYZ)
Reference frame : ICRF/J2000.0
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch
*******************************************************************************
JDTDB
 State   : X       Y        Z     VX       VY        VZ
 1-sigma : X_s     Y_s      Z_s   VX_s     VY_s      VZ_s
*******************************************************************************************************************************************************
$$SOE
2457722.500000000 = A.D. 2016-Nov-30 00:00:00.0000 TDB
 XYZ   : -8.064419817354419E+08  -1.164276498925095E+08   1.856022032383110E+07  -9.650140643694396E+00  -4.548063224232492E+00   1.582925232441597E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.000000000 = A.D. 2016-Nov-30 12:00:00.0000 TDB
 XYZ   : -8.069335438427118E+08  -1.168692806243696E+08   1.855505084332158E+07  -1.137827909442724E+01  -1.612482667870152E+01  -3.780561748725724E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.500000000 = A.D. 2016-Dec-01 00:00:00.0000 TDB
 XYZ   : -8.072859539641129E+08  -1.177773470489768E+08   1.853183192692804E+07  -3.675472512161813E+00  -2.477628334263813E+01  -6.255412368006557E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.000000000 = A.D. 2016-Dec-01 12:00:00.0000 TDB
 XYZ   : -8.071939390215889E+08  -1.188781512984136E+08   1.850774623988830E+07   7.904910903449661E+00  -2.448901604586456E+01  -4.157759025908838E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.500000000 = A.D. 2016-Dec-02 00:00:00.0000 TDB
 XYZ   : -8.066661286733317E+08  -1.197620763806024E+08   1.850056745822933E+07   1.518714850061547E+01  -1.532684938296557E+01   1.089084876629620E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.000000000 = A.D. 2016-Dec-02 12:00:00.0000 TDB
 XYZ   : -8.060271057877352E+08  -1.201659363796840E+08   1.851627055030750E+07   1.263806849250251E+01  -3.727741884576939E+00   5.724293791638033E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.500000000 = A.D. 2016-Dec-03 00:00:00.0000 TDB
 XYZ   : -8.056957572359862E+08  -1.201777010523221E+08   1.854385811203393E+07   1.897454894056983E+00   1.549045277881135E+00   6.195515069816173E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.000000000 = A.D. 2016-Dec-03 12:00:00.0000 TDB
 XYZ   : -8.058630972500819E+08  -1.201857385821903E+08   1.856307959163935E+07  -8.849834967202527E+00  -3.537231942547796E+00   2.132014650329634E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.500000000 = A.D. 2016-Dec-04 00:00:00.0000 TDB
 XYZ   : -8.063420607807385E+08  -1.205762145508258E+08   1.856023475822786E+07  -1.161849759324281E+01  -1.492275862233283E+01  -3.325115206384242E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.000000000 = A.D. 2016-Dec-04 12:00:00.0000 TDB
 XYZ   : -8.067242237673262E+08  -1.214440633876251E+08   1.853814317003148E+07  -4.715413068949764E+00  -2.423082157267675E+01  -6.222271305625018E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.500000000 = A.D. 2016-Dec-05 00:00:00.0000 TDB
 XYZ   : -8.066809000248901E+08  -1.225434932774971E+08   1.851316924283085E+07   6.840289500115619E+00  -2.497654933685510E+01  -4.579117941296875E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.000000000 = A.D. 2016-Dec-05 12:00:00.0000 TDB
 XYZ   : -8.061843941153549E+08  -1.234660678473045E+08   1.850365356434106E+07   1.490996084004022E+01  -1.651554725037812E+01   4.961472203162121E-02
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.500000000 = A.D. 2016-Dec-06 00:00:00.0000 TDB
 XYZ   : -8.055338104467342E+08  -1.239210726830564E+08   1.851720495411038E+07   1.342838165114203E+01  -4.744003669528506E+00   5.388306330853951E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.000000000 = A.D. 2016-Dec-06 12:00:00.0000 TDB
 XYZ   : -8.051537018542756E+08  -1.239578443621500E+08   1.854441355763845E+07   3.217335301056497E+00   1.488952086413327E+00   6.366430643639267E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.500000000 = A.D. 2016-Dec-07 00:00:00.0000 TDB
 XYZ   : -8.052699063915547E+08  -1.239454765508267E+08   1.856527552047490E+07  -7.953098763698566E+00  -2.599585166378836E+00   2.665655320227375E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457730.000000000 = A.D. 2016-Dec-07 12:00:00.0000 TDB
 XYZ   : -8.057313631955826E+08  -1.242858049374436E+08   1.856479460652691E+07  -1.174452939379121E+01  -1.369194417770984E+01  -2.837881010394030E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457730.500000000 = A.D. 2016-Dec-08 00:00:00.0000 TDB
 XYZ   : -8.061395768648697E+08  -1.251104200019173E+08   1.854402388690216E+07  -5.707938083103039E+00  -2.358558443830147E+01  -6.137804716029347E-01
