 Automated mail xmit by MAIL_REQUEST, PID=   105359 Wed Nov 30 07:00:41 2016
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Jun 17, 2016           Ganymede / (Jupiter)                       503

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 2634   +- 10     Density (g cm^-3)  =  1.94 +- 0.02
  Mass (10^20 kg )        = 1482   +- 1      Geometric Albedo   =  0.4

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 1070.0428 (10^3) Orbital period     = 7.154553 d
  Eccentricity, e         = 0.0006           Rotational period  = Synchronous
  Inclination, i  (deg)   = 0.186
*******************************************************************************


*******************************************************************************
Ephemeris / MAIL_REQUEST Wed Nov 30 07:00:41 2016 Pasadena, USA  / Horizons
*******************************************************************************
Target body name: Ganymede (503)                  {source: jup310}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2016-Nov-30 00:00:00.0000 TDB
Stop  time      : A.D. 2016-Dec-30 00:00:00.0000 TDB
Step-size       : 720 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2x (pos. & vel. w/uncertainties: XYZ)
Reference frame : ICRF/J2000.0
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch
*******************************************************************************
JDTDB
 State   : X       Y        Z     VX       VY        VZ
 1-sigma : X_s     Y_s      Z_s   VX_s     VY_s      VZ_s
*******************************************************************************************************************************************************
$$SOE
2457722.500000000 = A.D. 2016-Nov-30 00:00:00.0000 TDB
 XYZ   : -8.057919933199257E+08  -1.166679188174193E+08   1.855495689227536E+07  -1.479813665277787E+00  -1.915876218770396E+00   3.634393784880680E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.000000000 = A.D. 2016-Nov-30 12:00:00.0000 TDB
 XYZ   : -8.059483503615516E+08  -1.167949084953627E+08   1.856776000484988E+07  -5.585285630133158E+00  -4.264850189457801E+00   2.201842848031861E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.500000000 = A.D. 2016-Dec-01 00:00:00.0000 TDB
 XYZ   : -8.062543633413846E+08  -1.170584334659681E+08   1.857341405986331E+07  -8.297233650573245E+00  -8.134189060235222E+00   3.781384489741679E-02
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.000000000 = A.D. 2016-Dec-01 12:00:00.0000 TDB
 XYZ   : -8.066376497489612E+08  -1.175090672178029E+08   1.857096093317916E+07  -9.106061097952056E+00  -1.278786739439517E+01  -1.491301155471270E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.500000000 = A.D. 2016-Dec-02 00:00:00.0000 TDB
 XYZ   : -8.070113827615980E+08  -1.181619286081452E+08   1.856097321194659E+07  -7.862403173655849E+00  -1.734666753035794E+01  -3.054407875764733E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.000000000 = A.D. 2016-Dec-02 12:00:00.0000 TDB
 XYZ   : -8.072906202281433E+08  -1.189940035134168E+08   1.854544026265741E+07  -4.801046314921939E+00  -2.095213545165239E+01  -4.017582456453672E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.500000000 = A.D. 2016-Dec-03 00:00:00.0000 TDB
 XYZ   : -8.074081694694327E+08  -1.199485317379952E+08   1.852739331016783E+07  -4.960857206602869E-01  -2.292480580476778E+01  -4.199609697727666E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.000000000 = A.D. 2016-Dec-03 12:00:00.0000 TDB
 XYZ   : -8.073271787086098E+08  -1.209456026724700E+08   1.851033898669674E+07   4.243732025224205E+00  -2.288920672393436E+01  -3.565101630697889E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.500000000 = A.D. 2016-Dec-04 00:00:00.0000 TDB
 XYZ   : -8.070481627210283E+08  -1.218970643279051E+08   1.849760312180855E+07   8.524366693761454E+00  -2.084609982371969E+01  -2.232156826545175E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.000000000 = A.D. 2016-Dec-04 12:00:00.0000 TDB
 XYZ   : -8.066091070930020E+08  -1.227231340935219E+08   1.849170136586872E+07   1.153297859418245E+01  -1.717675465839275E+01  -4.520351157712721E-02
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.500000000 = A.D. 2016-Dec-05 00:00:00.0000 TDB
 XYZ   : -8.060784875313032E+08  -1.233676191538020E+08   1.849385567583222E+07   1.269425990839076E+01  -1.257495924543088E+01   1.437135907633529E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.000000000 = A.D. 2016-Dec-05 12:00:00.0000 TDB
 XYZ   : -8.055423439233166E+08  -1.238087904472016E+08   1.850375356951419E+07   1.178430009252456E+01  -7.916747272002803E+00   3.074656312451225E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.500000000 = A.D. 2016-Dec-06 00:00:00.0000 TDB
 XYZ   : -8.050878370346335E+08  -1.240637062876916E+08   1.851960138529209E+07   8.976196152269178E+00  -4.091951175670474E+00   4.146924766540043E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.000000000 = A.D. 2016-Dec-06 12:00:00.0000 TDB
 XYZ   : -8.047865133325980E+08  -1.241849887464836E+08   1.853846682500896E+07   4.808071251927123E+00  -1.830067593477492E+00   4.449127967486603E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.500000000 = A.D. 2016-Dec-07 00:00:00.0000 TDB
 XYZ   : -8.046805532058709E+08  -1.242506962877774E+08   1.855684319692698E+07   7.861377964392879E-02  -1.560138613012814E+00   3.924328145657124E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457730.000000000 = A.D. 2016-Dec-07 12:00:00.0000 TDB
 XYZ   : -8.047747755964620E+08  -1.243493363139364E+08   1.857132097962828E+07  -4.309788917805099E+00  -3.329143214232728E+00   2.673644309593312E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457730.500000000 = A.D. 2016-Dec-08 00:00:00.0000 TDB
 XYZ   : -8.050358971455299E+08  -1.245629296056988E+08   1.857923797958408E+07  -7.523845679655211E+00  -6.795324879045634E+00   9.361064654244267E-02
