 Automated mail xmit by MAIL_REQUEST, PID=   109779 Wed Nov 30 07:04:58 2016
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Jun 17, 2016             Iapetus / (Saturn)                       608
                          http://ssd.jpl.nasa.gov/?sat_phys_par
                            http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)            = 734.5    +- 4.0    Density (g/cm^3)=  1.088 +- 0.018
  Mass (10^22 g)         = 180.59             Geometric Albedo=  0.6
  GM (km^3/s^2)          = 120.51   +- 0.03   V(1,0)          =   +1.5 (.7-2.5)

 SATELLITE ORBITAL DATA (mean values with respect to local Laplace plane):
  Semi-major axis, a (km)= 3560.84 (10^3)     Orbital period    = 79.33 d
  Eccentricity, e        =     0.0283         Rotational period = Synchronous
  Inclination, i  (deg)  =     7.489
*******************************************************************************


*******************************************************************************
Ephemeris / MAIL_REQUEST Wed Nov 30 07:04:58 2016 Pasadena, USA  / Horizons
*******************************************************************************
Target body name: Iapetus (608)                   {source: sat389}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2016-Nov-30 00:00:00.0000 TDB
Stop  time      : A.D. 2016-Dec-30 00:00:00.0000 TDB
Step-size       : 720 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2x (pos. & vel. w/uncertainties: XYZ)
Reference frame : ICRF/J2000.0
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch
*******************************************************************************
JDTDB
 State   : X       Y        Z     VX       VY        VZ
 1-sigma : X_s     Y_s      Z_s   VX_s     VY_s      VZ_s
*******************************************************************************************************************************************************
$$SOE
2457722.500000000 = A.D. 2016-Nov-30 00:00:00.0000 TDB
 XYZ   : -3.073098778272225E+08  -1.470032932576228E+09   3.823881748171419E+07   8.514308588157675E+00  -5.034865750638591E+00   4.693148190501089E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.000000000 = A.D. 2016-Nov-30 12:00:00.0000 TDB
 XYZ   : -3.069394655488328E+08  -1.470250787436164E+09   3.825866228659368E+07   8.634474015065392E+00  -5.050265447705250E+00   4.492409770154782E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.500000000 = A.D. 2016-Dec-01 00:00:00.0000 TDB
 XYZ   : -3.065638547221458E+08  -1.470469211311598E+09   3.827761611474401E+07   8.754955433355571E+00  -5.061207022863587E+00   4.280708256696790E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.000000000 = A.D. 2016-Dec-01 12:00:00.0000 TDB
 XYZ   : -3.061830351532625E+08  -1.470688011382829E+09   3.829563225231695E+07   8.875592842950294E+00  -5.067680697460803E+00   4.058344867751975E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.500000000 = A.D. 2016-Dec-02 00:00:00.0000 TDB
 XYZ   : -3.057970035540353E+08  -1.470906994513206E+09   3.831266530997258E+07   8.996226549312567E+00  -5.069681571701361E+00   3.825631526440727E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.000000000 = A.D. 2016-Dec-02 12:00:00.0000 TDB
 XYZ   : -3.054057635267471E+08  -1.471125967459261E+09   3.832867126838207E+07   9.116697262544566E+00  -5.067209595332013E+00   3.582890516732704E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.500000000 = A.D. 2016-Dec-03 00:00:00.0000 TDB
 XYZ   : -3.050093255443922E+08  -1.471344737079609E+09   3.834360752224690E+07   9.236846201849154E+00  -5.060269540443739E+00   3.330454142263284E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.000000000 = A.D. 2016-Dec-03 12:00:00.0000 TDB
 XYZ   : -3.046077069263582E+08  -1.471563110542745E+09   3.835743292286944E+07   9.356515203462644E+00  -5.048870977381190E+00   3.068664398897607E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.500000000 = A.D. 2016-Dec-04 00:00:00.0000 TDB
 XYZ   : -3.042009318094388E+08  -1.471780895533864E+09   3.837010781936145E+07   9.475546828119452E+00  -5.033028254162445E+00   2.797872673472674E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.000000000 = A.D. 2016-Dec-04 12:00:00.0000 TDB
 XYZ   : -3.037890311142903E+08  -1.471997900460880E+09   3.838159409862423E+07   9.593784464030851E+00  -5.012760479062001E+00   2.518439477679428E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.500000000 = A.D. 2016-Dec-05 00:00:00.0000 TDB
 XYZ   : -3.033720425075782E+08  -1.472213934659721E+09   3.839185522425818E+07   9.711072423250609E+00  -4.988091505097977E+00   2.230734216962538E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.000000000 = A.D. 2016-Dec-05 12:00:00.0000 TDB
 XYZ   : -3.029500103600832E+08  -1.472428808598974E+09   3.840085627452594E+07   9.827256033159674E+00  -4.959049914090452E+00   1.935134979617175E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.500000000 = A.D. 2016-Dec-06 00:00:00.0000 TDB
 XYZ   : -3.025229857008364E+08  -1.472642334083752E+09   3.840856397938871E+07   9.942181730630548E+00  -4.925668996721758E+00   1.632028310948073E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.000000000 = A.D. 2016-Dec-06 12:00:00.0000 TDB
 XYZ   : -3.020910261668689E+08  -1.472854324458542E+09   3.841494675642961E+07   1.005569717422935E+01  -4.887986723631399E+00   1.321808911427824E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.500000000 = A.D. 2016-Dec-07 00:00:00.0000 TDB
 XYZ   : -3.016541959472924E+08  -1.473064594808486E+09   3.841997474515110E+07   1.016765139957985E+01  -4.846045701017956E+00   1.004879166247887E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457730.000000000 = A.D. 2016-Dec-07 12:00:00.0000 TDB
 XYZ   : -3.012125657235914E+08  -1.473272962162256E+09   3.842361984050465E+07   1.027789483109484E+01  -4.799893313363570E+00   6.816498369834134E-02
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
