 Automated mail xmit by MAIL_REQUEST, PID=   105359 Wed Nov 30 07:00:39 2016
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Jun 17, 2016             Io  / (Jupiter)                          501

 SATELLITE PHYSICAL PROPERTIES:
  Radius (km)             = 1821.3 +- 0.2   Density (g cm^-3)   =  3.530 +-.006
  Mass (10^20 kg )        =  893.3 +- 1.5   Geometric Albedo    =  0.6

 SATELLITE ORBITAL DATA:
  Semi-major axis, a (km) = 421.769 (10^3)  Orbital period      = 1.769138 d
  Eccentricity, e         = 0.0041          Rotational period   = Synchronous
  Inclination, i  (deg)   = 0.036
*******************************************************************************


*******************************************************************************
Ephemeris / MAIL_REQUEST Wed Nov 30 07:00:39 2016 Pasadena, USA  / Horizons
*******************************************************************************
Target body name: Io (501)                        {source: jup310}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2016-Nov-30 00:00:00.0000 TDB
Stop  time      : A.D. 2016-Dec-30 00:00:00.0000 TDB
Step-size       : 720 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2x (pos. & vel. w/uncertainties: XYZ)
Reference frame : ICRF/J2000.0
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch
*******************************************************************************
JDTDB
 State   : X       Y        Z     VX       VY        VZ
 1-sigma : X_s     Y_s      Z_s   VX_s     VY_s      VZ_s
*******************************************************************************************************************************************************
$$SOE
2457722.500000000 = A.D. 2016-Nov-30 00:00:00.0000 TDB
 XYZ   : -8.065338649782376E+08  -1.173006286866540E+08   1.852236562539800E+07   1.469010881310755E+01  -9.154602374676748E-01   6.031884869368691E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.000000000 = A.D. 2016-Nov-30 12:00:00.0000 TDB
 XYZ   : -8.064825876345514E+08  -1.171805683399717E+08   1.854565973220269E+07  -1.205093742827463E+01  -1.831471755359362E+00   1.849131844812626E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.500000000 = A.D. 2016-Dec-01 00:00:00.0000 TDB
 XYZ   : -8.070440414575026E+08  -1.178675230185093E+08   1.853152309534892E+07  -5.695214497198225E+00  -2.803456003712451E+01  -6.518915191698795E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.000000000 = A.D. 2016-Dec-01 12:00:00.0000 TDB
 XYZ   : -8.066844125486747E+08  -1.189896630447494E+08   1.851523395721462E+07   1.860817552928774E+01  -1.630090440624423E+01   1.136310453123368E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.500000000 = A.D. 2016-Dec-02 00:00:00.0000 TDB
 XYZ   : -8.060901556933110E+08  -1.191251903128219E+08   1.853725515735677E+07   2.320949965053636E+00   4.943244295992435E+00   6.309517216972353E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.000000000 = A.D. 2016-Dec-02 12:00:00.0000 TDB
 XYZ   : -8.065070131514217E+08  -1.192274279733333E+08   1.854586650716508E+07  -1.535523658783454E+01  -1.524005395146782E+01  -3.390412807855903E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.500000000 = A.D. 2016-Dec-03 00:00:00.0000 TDB
 XYZ   : -8.067504252369964E+08  -1.203311903002183E+08   1.852148904484601E+07   8.249136942245444E+00  -2.843305584163379E+01  -4.664934034511958E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.000000000 = A.D. 2016-Dec-03 12:00:00.0000 TDB
 XYZ   : -8.060490327662798E+08  -1.210571926770241E+08   1.852409239476625E+07   1.617548937299245E+01  -2.761117170027795E+00   5.566539428863866E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.500000000 = A.D. 2016-Dec-04 00:00:00.0000 TDB
 XYZ   : -8.059067651393697E+08  -1.209396111351155E+08   1.854850139916211E+07  -1.044344024173142E+01  -5.754813338642902E-02   2.684391122933745E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.000000000 = A.D. 2016-Dec-04 12:00:00.0000 TDB
 XYZ   : -8.064808181766592E+08  -1.215384193119373E+08   1.853719781889059E+07  -7.705964844996056E+00  -2.686807393434868E+01  -6.420838994642608E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.500000000 = A.D. 2016-Dec-05 00:00:00.0000 TDB
 XYZ   : -8.062014087654716E+08  -1.226933001886059E+08   1.851848143401492E+07   1.797593187530436E+01  -1.853976348893318E+01   2.261016881962075E-02
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.000000000 = A.D. 2016-Dec-05 12:00:00.0000 TDB
 XYZ   : -8.055556960315855E+08  -1.229022378223520E+08   1.853853259024385E+07   4.706402226461210E+00   4.713216015468558E+00   6.546529866589912E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.500000000 = A.D. 2016-Dec-06 00:00:00.0000 TDB
 XYZ   : -8.059072617433215E+08  -1.229414998887202E+08   1.855020783006348E+07  -1.553323149539886E+01  -1.288270801524997E+01  -2.605935236641255E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.000000000 = A.D. 2016-Dec-06 12:00:00.0000 TDB
 XYZ   : -8.062229129364678E+08  -1.239962052271513E+08   1.852641745293316E+07   6.058769700708433E+00  -2.915873558949350E+01  -5.263546206535992E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.500000000 = A.D. 2016-Dec-07 00:00:00.0000 TDB
 XYZ   : -8.055508963589711E+08  -1.248047373235311E+08   1.852556141372570E+07   1.739772757697474E+01  -4.785637553559381E+00   4.999601588583900E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457730.000000000 = A.D. 2016-Dec-07 12:00:00.0000 TDB
 XYZ   : -8.053187989534661E+08  -1.247017096622334E+08   1.855063951649582E+07  -8.609295188422884E+00   1.486496320473917E+00   3.470656773512468E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457730.500000000 = A.D. 2016-Dec-08 00:00:00.0000 TDB
 XYZ   : -8.058932571929193E+08  -1.252112378966712E+08   1.854238451417815E+07  -9.537342942030728E+00  -2.543208778350058E+01  -6.201434070397198E-01
