 Automated mail xmit by MAIL_REQUEST, PID=   109779 Wed Nov 30 07:04:52 2016
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Jun 17, 2016             Mimas / (Saturn)                         601
                        http://ssd.jpl.nasa.gov/?sat_phys_par
                         http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)        = 198.8   +- 1.5   Density (g/cm^3)  = 1.152 +- 0.027
  Mass (10^22 g)          =   3.75           Geometric Albedo  = 0.6
  GM (km^3/s^2)           =   2.503          V(1,0)            = +3.3

 SATELLITE ORBITAL DATA (mean elements referred to local Laplace plane):
  Semi-major axis, a (km) = 185.54(10^3)    Orbital period     = 0.9424218 d
  Eccentricity, e         = 0.0196          Rotational period  = Synchronous
  Inclination, i  (deg)   = 1.572
*******************************************************************************


*******************************************************************************
Ephemeris / MAIL_REQUEST Wed Nov 30 07:04:51 2016 Pasadena, USA  / Horizons
*******************************************************************************
Target body name: Mimas (601)                     {source: sat389}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2016-Nov-30 00:00:00.0000 TDB
Stop  time      : A.D. 2016-Dec-30 00:00:00.0000 TDB
Step-size       : 720 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2x (pos. & vel. w/uncertainties: XYZ)
Reference frame : ICRF/J2000.0
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch
*******************************************************************************
JDTDB
 State   : X       Y        Z     VX       VY        VZ
 1-sigma : X_s     Y_s      Z_s   VX_s     VY_s      VZ_s
*******************************************************************************************************************************************************
$$SOE
2457722.500000000 = A.D. 2016-Nov-30 00:00:00.0000 TDB
 XYZ   : -3.038755985362162E+08  -1.470750919771977E+09   3.773137220506430E+07   1.966188874415714E+01  -1.049154540346300E+01   3.510905706275389E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.000000000 = A.D. 2016-Nov-30 12:00:00.0000 TDB
 XYZ   : -3.032826125624252E+08  -1.470574173023528E+09   3.756264818044633E+07  -3.756558291321621E+00   4.253553668652474E+00  -2.802027202935990E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.500000000 = A.D. 2016-Dec-01 00:00:00.0000 TDB
 XYZ   : -3.030430500148717E+08  -1.470954950437454E+09   3.771718175275016E+07   2.245106442960785E+01  -6.464491819859061E+00   1.164203582401400E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.000000000 = A.D. 2016-Dec-01 12:00:00.0000 TDB
 XYZ   : -3.025786545498596E+08  -1.470725510000425E+09   3.752887596224642E+07  -5.221931934071648E+00  -3.232196415110630E-01  -2.420248701755041E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.500000000 = A.D. 2016-Dec-02 00:00:00.0000 TDB
 XYZ   : -3.022011933638446E+08  -1.471136464437119E+09   3.769049089749455E+07   2.330809728946383E+01  -1.695680573095788E+00  -1.454812467283698E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.000000000 = A.D. 2016-Dec-02 12:00:00.0000 TDB
 XYZ   : -3.018767992704146E+08  -1.470899866326101E+09   3.750785585880810E+07  -4.644906195596040E+00  -5.042337151922657E+00   2.260500836786524E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.500000000 = A.D. 2016-Dec-03 00:00:00.0000 TDB
 XYZ   : -3.013602749201849E+08  -1.471293455737593E+09   3.765087884048337E+07   2.202605659712719E+01   3.122261863339657E+00  -3.959339878200133E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.000000000 = A.D. 2016-Dec-03 12:00:00.0000 TDB
 XYZ   : -3.011671448335707E+08  -1.471096293355531E+09   3.749843868326193E+07  -2.176044298303143E+00  -9.251717605832729E+00   4.363739519867889E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.500000000 = A.D. 2016-Dec-04 00:00:00.0000 TDB
 XYZ   : -3.005307477071896E+08  -1.471427553796052E+09   3.759990191243017E+07   1.873206591452060E+01   7.238387050219644E+00  -5.952286520167676E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.000000000 = A.D. 2016-Dec-04 12:00:00.0000 TDB
 XYZ   : -3.004411256284437E+08  -1.471310822747987E+09   3.749792896043992E+07   1.803914457520216E+00  -1.240314868133710E+01   5.796313793993583E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.500000000 = A.D. 2016-Dec-05 00:00:00.0000 TDB
 XYZ   : -2.997215511269649E+08  -1.471543973530464E+09   3.754095931335258E+07   1.390427166906369E+01   9.978905160733222E+00  -7.100737534430404E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.000000000 = A.D. 2016-Dec-05 12:00:00.0000 TDB
 XYZ   : -2.996925197502720E+08  -1.471537109111331E+09   3.750249383867860E+07   6.747761812740364E+00  -1.409931389053242E+01   6.378837529920932E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.500000000 = A.D. 2016-Dec-06 00:00:00.0000 TDB
 XYZ   : -2.989385053545212E+08  -1.471650782518792E+09   3.747879481800604E+07   8.306344129574587E+00   1.088954926440040E+01  -7.208929494215558E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.000000000 = A.D. 2016-Dec-06 12:00:00.0000 TDB
 XYZ   : -2.989181288588211E+08  -1.471767272829624E+09   3.750766104462272E+07   1.200554642134977E+01  -1.412160070823666E+01   6.035178904087193E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.500000000 = A.D. 2016-Dec-07 00:00:00.0000 TDB
 XYZ   : -2.981832326714053E+08  -1.471757532018736E+09   3.741868662676913E+07   2.840811979755069E+00   9.834860890801323E+00  -6.262744594752497E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457730.000000000 = A.D. 2016-Dec-07 12:00:00.0000 TDB
 XYZ   : -2.981181362073034E+08  -1.471992830456069E+09   3.750884636058134E+07   1.688349516733361E+01  -1.244870201507445E+01   4.799098040087286E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
