 Automated mail xmit by MAIL_REQUEST, PID=   109779 Wed Nov 30 07:04:56 2016
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Jun 17, 2016            Rhea  / (Saturn)                          605
                        http://ssd.jpl.nasa.gov/?sat_phys_par
                         http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)        = 764.5  +- 2     Density (g/cm^3)  =  1.233 +- 0.010
  Mass (10^22 g)          = 230.9           Geometric Albedo  =  0.6
  GM (km^3/s^2)           = 153.94 +- 0.16  V(1,0)            = +0.1

 SATELLITE ORBITAL DATA (mean values referred to local Laplace plane):
  Semi-major axis, a (km) = 527.07(10^3)    Orbital period    = 4.518 d
  Eccentricity, e         = 0.001           Rotational period = Synchronous
  Inclination, i  (deg)   = 0.331
*******************************************************************************


*******************************************************************************
Ephemeris / MAIL_REQUEST Wed Nov 30 07:04:56 2016 Pasadena, USA  / Horizons
*******************************************************************************
Target body name: Rhea (605)                      {source: sat389}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2016-Nov-30 00:00:00.0000 TDB
Stop  time      : A.D. 2016-Dec-30 00:00:00.0000 TDB
Step-size       : 720 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2x (pos. & vel. w/uncertainties: XYZ)
Reference frame : ICRF/J2000.0
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch
*******************************************************************************
JDTDB
 State   : X       Y        Z     VX       VY        VZ
 1-sigma : X_s     Y_s      Z_s   VX_s     VY_s      VZ_s
*******************************************************************************************************************************************************
$$SOE
2457722.500000000 = A.D. 2016-Nov-30 00:00:00.0000 TDB
 XYZ   : -3.032371474527919E+08  -1.470746980384327E+09   3.767150298345464E+07   1.066182462563363E+01   5.328898040835016E+00  -4.270409040128275E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.000000000 = A.D. 2016-Nov-30 12:00:00.0000 TDB
 XYZ   : -3.029020015957040E+08  -1.470514877442336E+09   3.749759347330904E+07   4.950287680857063E+00   4.817802554379544E+00  -3.479430543444180E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.500000000 = A.D. 2016-Dec-01 00:00:00.0000 TDB
 XYZ   : -3.027822813997153E+08  -1.470376974918678E+09   3.739235696683222E+07   1.094025757521910E+00   1.146661903751686E+00  -1.221091297216134E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.000000000 = A.D. 2016-Dec-01 12:00:00.0000 TDB
 XYZ   : -3.027541629171249E+08  -1.470436974510046E+09   3.739816405437058E+07   8.802375577751462E-01  -3.971186645639713E+00   1.452387197205325E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.500000000 = A.D. 2016-Dec-02 00:00:00.0000 TDB
 XYZ   : -3.026515898270544E+08  -1.470706474663091E+09   3.750576846851027E+07   4.399981937550107E+00  -8.159364077698415E+00   3.300976619194099E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.000000000 = A.D. 2016-Dec-02 12:00:00.0000 TDB
 XYZ   : -3.023432799945051E+08  -1.471099968890742E+09   3.765879009356666E+07   1.001929782818951E+01  -9.479403491769409E+00   3.470108020159846E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.500000000 = A.D. 2016-Dec-03 00:00:00.0000 TDB
 XYZ   : -3.017932557879435E+08  -1.471474554732312E+09   3.777985729248673E+07   1.513733481196105E+01  -7.318617492556434E+00   1.881192479664983E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.000000000 = A.D. 2016-Dec-03 12:00:00.0000 TDB
 XYZ   : -3.010774852162737E+08  -1.471695913897989E+09   3.780633299903893E+07   1.738045750125549E+01  -2.672092009900664E+00  -7.319355061920677E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.500000000 = A.D. 2016-Dec-04 00:00:00.0000 TDB
 XYZ   : -3.003490187865006E+08  -1.471700536892936E+09   3.771936230775887E+07   1.569949388808728E+01   2.307855310196170E+00  -3.157339155523214E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.000000000 = A.D. 2016-Dec-04 12:00:00.0000 TDB
 XYZ   : -2.997671526702979E+08  -1.471525552655929E+09   3.755282491593385E+07   1.086907497552598E+01   5.303788353195953E+00  -4.265063109286078E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.500000000 = A.D. 2016-Dec-05 00:00:00.0000 TDB
 XYZ   : -2.994231070630108E+08  -1.471291787231990E+09   3.737772620280892E+07   5.138581114689394E+00   4.918318089376382E+00  -3.537501694637718E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.000000000 = A.D. 2016-Dec-05 12:00:00.0000 TDB
 XYZ   : -2.992972486236367E+08  -1.471147416696679E+09   3.726906252695847E+07   1.179225049955273E+00   1.335120454166439E+00  -1.315266868588339E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.500000000 = A.D. 2016-Dec-06 00:00:00.0000 TDB
 XYZ   : -2.992684178099667E+08  -1.471198716000006E+09   3.727078536448604E+07   8.272509169679285E-01  -3.770990830559888E+00   1.364881901095330E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.000000000 = A.D. 2016-Dec-06 12:00:00.0000 TDB
 XYZ   : -2.991707537736498E+08  -1.471460796595315E+09   3.737548900952047E+07   4.234981471853493E+00  -8.028030836997896E+00   3.259538898810585E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.500000000 = A.D. 2016-Dec-07 00:00:00.0000 TDB
 XYZ   : -2.988706565796765E+08  -1.471851113046413E+09   3.752811544976163E+07   9.819961542865229E+00  -9.468072172820293E+00   3.494095411979194E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457730.000000000 = A.D. 2016-Dec-07 12:00:00.0000 TDB
 XYZ   : -2.983282246481999E+08  -1.472227841106603E+09   3.765149013648254E+07   1.500040253561683E+01  -7.423259277632358E+00   1.959584238509169E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
