 Automated mail xmit by MAIL_REQUEST, PID=   109779 Wed Nov 30 07:04:54 2016
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++

*******************************************************************************
 Revised: Jun 17, 2016            Tethys  / (Saturn)                        603
                          http://ssd.jpl.nasa.gov/?sat_phys_par
                            http://ssd.jpl.nasa.gov/?sat_elem

 SATELLITE PHYSICAL PROPERTIES:
  Mean Radius (km)       = 536.3  +- 1.5     Density (g/cm^3)  =  0.956+- 0.008
  Mass (10^22 g)         =  61.76 +- 0.11    Geometric Albedo  =  0.80
  GM (km^3/s^2)          =  41.21 +- 0.007   V(1,0)            = +0.7

 SATELLITE ORBITAL DATA (mean values with respect to local Laplace plane):
  Semi-major axis, a (km)=  294.670(10^3)    Orbital period    =  1.888 d
  Eccentricity, e        =     0.0001        Rotational period = Synchronous
  Inclination, i  (deg)  =     1.091
*******************************************************************************


*******************************************************************************
Ephemeris / MAIL_REQUEST Wed Nov 30 07:04:53 2016 Pasadena, USA  / Horizons
*******************************************************************************
Target body name: Tethys (603)                    {source: sat389}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2016-Nov-30 00:00:00.0000 TDB
Stop  time      : A.D. 2016-Dec-30 00:00:00.0000 TDB
Step-size       : 720 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2x (pos. & vel. w/uncertainties: XYZ)
Reference frame : ICRF/J2000.0
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch
*******************************************************************************
JDTDB
 State   : X       Y        Z     VX       VY        VZ
 1-sigma : X_s     Y_s      Z_s   VX_s     VY_s      VZ_s
*******************************************************************************************************************************************************
$$SOE
2457722.500000000 = A.D. 2016-Nov-30 00:00:00.0000 TDB
 XYZ   : -3.036852399423612E+08  -1.470380630671361E+09   3.752009620127523E+07  -2.108780622373603E+00   6.076393893754561E-01  -8.519360554332888E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.000000000 = A.D. 2016-Nov-30 12:00:00.0000 TDB
 XYZ   : -3.036566518730056E+08  -1.470674096170465E+09   3.764449976557571E+07   7.437314426145231E+00  -1.186513619899436E+01   5.061743430242182E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457723.500000000 = A.D. 2016-Dec-01 00:00:00.0000 TDB
 XYZ   : -3.029908068882422E+08  -1.471062748833003E+09   3.777060358219177E+07   2.024802241666907E+01  -2.729017586865948E+00  -7.934713607883870E-01
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.000000000 = A.D. 2016-Dec-01 12:00:00.0000 TDB
 XYZ   : -3.023000914346663E+08  -1.470883918446180E+09   3.759236327026522E+07   8.311404529360463E+00   8.043553163512870E+00  -5.614770146290150E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457724.500000000 = A.D. 2016-Dec-02 00:00:00.0000 TDB
 XYZ   : -3.022511472193543E+08  -1.470715561005139E+09   3.746921825933295E+07  -2.269047281617006E+00  -3.093458421071398E+00   1.138922928560060E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.000000000 = A.D. 2016-Dec-02 12:00:00.0000 TDB
 XYZ   : -3.021074182755735E+08  -1.471112430060123E+09   3.764014886784470E+07   1.163929985788564E+01  -1.178695688027689E+01   4.702899415989164E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457725.500000000 = A.D. 2016-Dec-03 00:00:00.0000 TDB
 XYZ   : -3.013394409241183E+08  -1.471393280989258E+09   3.770115568791687E+07   1.962988966678204E+01   9.788038837152300E-01  -2.718126878037734E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.000000000 = A.D. 2016-Dec-03 12:00:00.0000 TDB
 XYZ   : -3.007826738296989E+08  -1.471130282459115E+09   3.748853261625504E+07   4.231881763003153E+00   7.294032816985527E+00  -4.896793825900472E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457726.500000000 = A.D. 2016-Dec-04 00:00:00.0000 TDB
 XYZ   : -3.008106010074909E+08  -1.471084493355723E+09   3.743688048578328E+07  -8.850825594074063E-01  -6.640156247494640E+00   2.929499459463190E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.000000000 = A.D. 2016-Dec-04 12:00:00.0000 TDB
 XYZ   : -3.005183102441907E+08  -1.471541792938337E+09   3.762886169270062E+07   1.546874754917622E+01  -1.035489504399388E+01   3.650256516348044E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457727.500000000 = A.D. 2016-Dec-05 00:00:00.0000 TDB
 XYZ   : -2.997008838529534E+08  -1.471687866378862E+09   3.761440511516535E+07   1.753747932917751E+01   4.279005841972703E+00  -4.312680590258609E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.000000000 = A.D. 2016-Dec-05 12:00:00.0000 TDB
 XYZ   : -2.993015513964970E+08  -1.471388666428696E+09   3.739478588387334E+07   8.015878479562950E-01   5.270059826656063E+00  -3.548419623917122E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457728.500000000 = A.D. 2016-Dec-06 00:00:00.0000 TDB
 XYZ   : -2.993493171562710E+08  -1.471483376271091E+09   3.741983637840605E+07   1.851559938288880E+00  -9.541202530049340E+00   4.272208740629079E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.000000000 = A.D. 2016-Dec-06 12:00:00.0000 TDB
 XYZ   : -2.988955849130389E+08  -1.471949726252066E+09   3.760446732812822E+07   1.839646891416387E+01  -7.765491407251996E+00   2.048943796950780E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457729.500000000 = A.D. 2016-Dec-07 00:00:00.0000 TDB
 XYZ   : -2.980881984735585E+08  -1.471952550288730E+09   3.751457479707658E+07   1.425927654145650E+01   6.720426486487092E+00  -5.358228824070782E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
2457730.000000000 = A.D. 2016-Dec-07 12:00:00.0000 TDB
 XYZ   : -2.978481998556936E+08  -1.471669992998304E+09   3.731630938590837E+07  -1.509686573872839E+00   2.250012830609910E+00  -1.753944298680743E+00
 sigmas:                   n.a.                    n.a.                    n.a.                    n.a.                    n.a.                    n.a.
