Name		Mass		Date		X-Pos					Y-Pos					Z-Pos					X-Vel					Y-Vel					Z-Vel
Earth		5.972E+24	2016-11-30	5.584037250630451E+07	1.373320977984604E+08	-2.944729968397319E+04	-2.811604145723522E+01	1.107388516921028E+01	-8.203112889404451E-05
Mercury		3.302E+23	2016-11-30	4.215249906941842E+07	-4.613875345220466E+07	-7.658774616285987E+06	2.667840116440152E+01	3.476172188343668E+01	3.916824046195959E-01
Mars		6.4185E+23	2016-11-30	2.076580528109857E+08	-1.358221604507309E+07	-5.403537511979058E+06 	2.573482027676767E+00	2.625838876427120E+01	4.868404768498937E-01
Moon		734.9E+20	2016-11-30	5.572437421397652E+07	1.369456388661178E+08	5.602757365323603E+03	-2.717759601128652E+01	1.080809321353016E+01	-9.642935205618652E-03
Demios		1.80E+15	2016-11-30	2.076725902990729E+08	-1.356455282914123E+07	-5.408702703079637E+06	1.680674258002806E+00	2.714007796743809E+01	9.890592337408197E-01
Phobos		1.08E+16	2016-11-30	2.076523360399314E+08	-1.357560479563598E+07	-5.400073354254575E+06	1.208078003299675E+00	2.472816480248743E+01	1.068339209337605E+00
Io			893.3E+20	2016-11-30	-8.065338649782376E+08	-1.173006286866540E+08	1.852236562539800E+07	1.469010881310755E+01	-9.154602374676748E-01	6.031884869368691E-01
Europa		480E+20		2016-11-30	-8.064419817354419E+08	-1.164276498925095E+08	1.856022032383110E+07	-9.650140643694396E+00	-4.548063224232492E+00	1.582925232441597E-01
Jupiter		1898E+24	2016-11-30	-8.068140871178845E+08	-1.169834623267920E+08	1.852956526970178E+07	1.723309133318092E+00	-1.231359468765101E+01	1.256904435216821E-02
Ganymede	1482E+20	2016-11-30	-8.057919933199257E+08	-1.166679188174193E+08	1.855495689227536E+07	-1.479813665277787E+00	-1.915876218770396E+00	3.634393784880680E-01
Callisto	1076E+20	2016-11-30	-8.081549971452082E+08	-1.156494479340916E+08	1.855399724406631E+07	-4.066740036832387E+00	-1.806338986249810E+01	-2.473969923896133E-01
Saturn		5.68319E+26	2016-11-30	-3.037509820976985E+08	-1.470632013206974E+09	3.765913193495369E+07	8.928960903068877E+00	-1.984613346928032E+00	-3.206228025479634E-01
Enceladus	10.805E+19	2016-11-30	-3.037875038154625E+08	-1.470421574514260E+09	3.755242236663187E+07	-3.464155130301188E+00	-3.243567836952797E+00	1.540349617905699E+00
Mimas		3.75E+19	2016-11-30	-3.038755985362162E+08	-1.470750919771977E+09	3.773137220506430E+07	1.966188874415714E+01	-1.049154540346300E+01	3.510905706275389E+00
Tethys		61.8E+19	2016-11-30	-3.036852399423612E+08	-1.470380630671361E+09	3.752009620127523E+07	-2.108780622373603E+00	6.076393893754561E-01	-8.519360554332888E-01
Dione		109.572E+19	2016-11-30	-3.033876104190677E+08	-1.470735099049610E+09	3.767811909755194E+07	1.156263118530567E+01	6.461284350644231E+00	-4.998925928521873E+00
Rhea		230.9E+19	2016-11-30	-3.032371474527919E+08	-1.470746980384327E+09	3.767150298345464E+07	1.066182462563363E+01	5.328898040835016E+00	-4.270409040128275E+00
Iapetus		180.59E+19	2016-11-30	-3.073098778272225E+08	-1.470032932576228E+09	3.823881748171419E+07	8.514308588157675E+00	-5.034865750638591E+00	4.693148190501089E-01
Titan		13.4553E+22	2016-11-30	-3.034449969274610E+08	-1.471678195587077E+09	3.816803033252341E+07	1.434342280192329E+01	-8.020027093365781E-01	-1.467220804979992E+00
Uranus		86.8103E+24	2016-11-30	2.751494769200537E+09	1.154913056765598E+09	-3.135676836464417E+07	-2.685516812949386E+00	5.961855612272172E+00	5.708511285507356E-02
Umbriel		11.7E+20	2016-11-30	2.751627803797651E+09	1.154915842635743E+09	-3.112670903692460E+07	1.244788928136872E+00	4.794186915421402E+00	-2.181497333557101E+00
Oberon		30.1E+20	2016-11-30	2.751276433033738E+09	1.154883625103992E+09	-3.189784906981367E+07	-5.529465681548747E+00	6.737174742670395E+00	1.159285991525396E+00
Ariel		14E+20		2016-11-30	2.751661103282034E+09	1.154865451073787E+09	-3.143732348452765E+07	-5.119263645840039E+00	5.810182049209198E+00	-4.885419089506216E+00
Titania		35.3E+20	2016-11-30	2.751747944149238E+09	1.154907354063568E+09	-3.100061779237443E+07	1.730050106473802E-01	5.046621011013568E+00	-1.999447640542465E+00
Neptune		102.41E+24	2016-11-30	4.234738394081403E+09	-1.463826344513629E+09	-6.744915715541601E+07	1.738795072740612E+00	5.169212454247406E+00	-1.460420802650997E-01
Miranda		0.66E+20	2016-11-30	2.751554841772132E+09	1.154916476492801E+09	-3.124165008116585E+07	3.154127174748174E+00	4.792851637053376E+00	-2.964447305915487E+00
Triton		215E+20		2016-11-30	4.234826432982049E+09	-1.463542700877368E+09	-6.725512568449163E+07	5.383824148446413E+00	5.675235843445770E+00	-2.539605721390780E+00
Charon		1.53E+21	2016-11-30	1.430922849608518E+09	-4.758251890366738E+09	9.525555375745702E+07	5.312505561002748E+00	5.386194157441528E-01	-1.413909765954664E+00
Pluto		1.31E+22	2016-11-30	1.430937244187610E+09	-4.758240231627687E+09	9.524914920469403E+07	5.318676713653141E+00	4.254370024220401E-01	-1.606055930747094E+00
Sun			1.98854E+30	2016-11-30	5.183716459504809E+05	5.567429984540364E+05	-2.359654957151352E+04	-4.092101063312709E-03	1.166318773541154E-02	8.348424988067430E-05
Venus		48.685E+23	2016-11-30	1.090071178212342E+08	-2.099284346108085E+06	-6.320491450648611E+06	7.016598867954251E-01	3.486259119979805E+01	4.372279265427537E-01
